transaction_id,customer_id,amount,payment_method,event_type,timestamp,retry_count,failure_reason
TXN1001,CUST106,11162.02,credit_card,checkout_abandoned,2026-08-16 19:35:50,0,abandoned
TXN1002,CUST239,1441.04,netbanking,checkout_abandoned,2026-08-22 19:35:50,0,abandoned
TXN1003,CUST106,8484.49,netbanking,failed_payment,2026-08-16 19:35:50,1,network_error
TXN1004,CUST140,10517.37,debit_card,subscription_failed,2026-08-15 19:35:50,0,bank_timeout
TXN1005,CUST123,5791.92,debit_card,failed_payment,2026-07-27 19:35:50,0,network_error
TXN1006,CUST217,8112.99,netbanking,failed_payment,2026-08-21 19:35:50,1,card_expired
TXN1007,CUST192,8723.68,UPI,checkout_abandoned,2026-08-22 19:35:50,2,abandoned
TXN1008,CUST120,12851.47,UPI,failed_payment,2026-08-11 19:35:50,0,issuer_declined
TXN1009,CUST194,5425.77,debit_card,failed_payment,2026-08-01 19:35:50,2,insufficient_funds
TXN1010,CUST162,2576.53,netbanking,failed_payment,2026-08-15 19:35:50,2,network_error
TXN1011,CUST114,3551.36,UPI,failed_payment,2026-07-29 19:35:50,0,issuer_declined
TXN1012,CUST245,13164.06,debit_card,failed_payment,2026-08-17 19:35:50,2,issuer_declined
TXN1013,CUST217,2271.64,credit_card,subscription_failed,2026-08-16 19:35:50,2,network_error
TXN1014,CUST209,13482.67,netbanking,checkout_abandoned,2026-08-12 19:35:50,0,abandoned
TXN1015,CUST226,1500.0,UPI,failed_payment,2026-07-27 19:35:50,0,bank_timeout
TXN1016,CUST208,9006.67,netbanking,checkout_abandoned,2026-08-11 19:35:50,1,abandoned
TXN1017,CUST241,12932.58,UPI,failed_payment,2026-08-02 19:35:50,2,insufficient_funds
TXN1018,CUST168,11563.69,debit_card,failed_payment,2026-08-20 19:35:50,0,issuer_declined
TXN1019,CUST167,14582.54,credit_card,failed_payment,2026-08-07 19:35:50,0,card_expired
TXN1020,CUST150,2419.66,credit_card,failed_payment,2026-08-06 19:35:50,1,insufficient_funds
TXN1021,CUST128,13947.11,debit_card,failed_payment,2026-08-16 19:35:50,0,bank_timeout
TXN1022,CUST121,11018.83,UPI,subscription_failed,2026-07-30 19:35:50,1,bank_timeout
TXN1023,CUST240,2602.14,netbanking,failed_payment,2026-07-24 19:35:50,0,network_error
TXN1024,CUST179,6075.04,debit_card,checkout_abandoned,2026-08-09 19:35:50,1,abandoned
TXN1025,CUST116,5170.57,credit_card,failed_payment,2026-08-05 19:35:50,0,insufficient_funds
TXN1026,CUST158,1150.89,UPI,checkout_abandoned,2026-07-27 19:35:50,0,abandoned
TXN1027,CUST224,3331.42,credit_card,failed_payment,2026-07-31 19:35:50,1,network_error
TXN1028,CUST204,2977.59,UPI,checkout_abandoned,2026-08-02 19:35:50,1,abandoned
TXN1029,CUST113,10149.46,UPI,failed_payment,2026-08-22 19:35:50,1,card_expired
TXN1030,CUST149,2974.6,netbanking,failed_payment,2026-08-19 19:35:50,1,bank_timeout
TXN1031,CUST119,6730.49,UPI,failed_payment,2026-08-22 19:35:50,2,network_error
TXN1032,CUST160,2619.72,netbanking,subscription_failed,2026-08-08 19:35:50,0,issuer_declined
TXN1033,CUST100,14781.84,debit_card,failed_payment,2026-07-25 19:35:50,1,card_expired
TXN1034,CUST242,9978.79,netbanking,subscription_failed,2026-08-19 19:35:50,0,card_expired
TXN1035,CUST238,1055.22,debit_card,failed_payment,2026-08-22 19:35:50,0,network_error
TXN1036,CUST235,2487.88,UPI,subscription_failed,2026-07-27 19:35:50,0,insufficient_funds
TXN1037,CUST160,6146.07,credit_card,checkout_abandoned,2026-08-05 19:35:50,1,
TXN1038,CUST249,8543.62,debit_card,failed_payment,2026-07-25 19:35:50,0,bank_timeout
TXN1039,CUST167,6027.42,debit_card,failed_payment,2026-08-09 19:35:50,0,
TXN1040,CUST244,14942.03,UPI,checkout_abandoned,2026-08-06 19:35:50,0,abandoned
TXN1041,CUST189,13230.83,credit_card,failed_payment,2026-08-12 19:35:50,0,bank_timeout
TXN1042,CUST177,9233.41,UPI,failed_payment,2026-08-02 19:35:50,1,card_expired
TXN1043,CUST134,4077.32,UPI,failed_payment,2026-07-31 19:35:50,1,bank_timeout
TXN1044,CUST187,3173.42,debit_card,checkout_abandoned,2026-08-07 19:35:50,1,abandoned
TXN1045,CUST113,1520.63,netbanking,subscription_failed,2026-07-28 19:35:50,0,
TXN1046,CUST167,2549.49,netbanking,checkout_abandoned,2026-08-06 19:35:50,2,abandoned
TXN1047,CUST119,14184.01,credit_card,failed_payment,2026-08-06 19:35:50,0,card_expired
TXN1048,CUST132,771.16,debit_card,failed_payment,2026-07-26 19:35:50,0,card_expired
TXN1049,CUST126,5402.13,netbanking,failed_payment,2026-08-04 19:35:50,2,bank_timeout
TXN1050,CUST141,14646.66,credit_card,failed_payment,2026-07-26 19:35:50,1,insufficient_funds
TXN1051,CUST205,12063.19,credit_card,subscription_failed,2026-08-15 19:35:50,0,insufficient_funds
TXN1052,CUST220,3453.14,netbanking,failed_payment,2026-08-12 19:35:50,0,bank_timeout
TXN1053,CUST202,5024.69,UPI,checkout_abandoned,2026-07-24 19:35:50,0,abandoned
TXN1054,CUST237,5067.58,UPI,failed_payment,2026-08-20 19:35:50,0,bank_timeout
TXN1055,CUST109,1759.78,netbanking,subscription_failed,2026-08-12 19:35:50,2,card_expired
TXN1056,CUST129,5870.15,credit_card,subscription_failed,2026-08-15 19:35:50,0,
TXN1057,CUST237,10349.83,credit_card,subscription_failed,2026-08-12 19:35:50,1,insufficient_funds
TXN1058,CUST180,10001.3,UPI,subscription_failed,2026-07-31 19:35:50,0,network_error
TXN1059,CUST203,10503.54,credit_card,failed_payment,2026-08-17 19:35:50,1,issuer_declined
TXN1060,CUST245,4619.11,UPI,subscription_failed,2026-08-14 19:35:50,0,bank_timeout
TXN1061,CUST182,7055.07,netbanking,checkout_abandoned,2026-08-02 19:35:50,0,abandoned
TXN1062,CUST143,9933.93,debit_card,checkout_abandoned,2026-08-07 19:35:50,2,abandoned
TXN1063,CUST160,10141.02,credit_card,failed_payment,2026-07-29 19:35:50,0,
TXN1064,CUST221,9227.42,UPI,failed_payment,2026-08-09 19:35:50,1,network_error
TXN1065,CUST226,6084.85,credit_card,checkout_abandoned,2026-08-03 19:35:50,2,
TXN1066,CUST127,11709.54,credit_card,checkout_abandoned,2026-08-18 19:35:50,2,abandoned
TXN1067,CUST163,13774.43,UPI,failed_payment,2026-08-09 19:35:50,0,issuer_declined
TXN1068,CUST181,14258.09,netbanking,subscription_failed,2026-08-04 19:35:50,2,network_error
TXN1069,CUST214,13473.54,netbanking,subscription_failed,2026-08-09 19:35:50,0,bank_timeout
TXN1070,CUST233,7346.27,credit_card,failed_payment,2026-08-15 19:35:50,1,insufficient_funds
TXN1071,CUST185,4897.69,UPI,failed_payment,2026-08-19 19:35:50,0,bank_timeout
TXN1072,CUST154,1103.8,netbanking,failed_payment,2026-08-13 19:35:50,1,issuer_declined
TXN1073,CUST207,5933.73,UPI,failed_payment,2026-07-27 19:35:50,1,issuer_declined
TXN1074,CUST176,11339.11,netbanking,subscription_failed,2026-08-06 19:35:50,2,network_error
TXN1075,CUST224,3408.41,netbanking,subscription_failed,2026-08-08 19:35:50,0,issuer_declined
TXN1076,CUST203,10904.09,netbanking,checkout_abandoned,2026-07-25 19:35:50,0,abandoned
TXN1077,CUST200,8939.61,UPI,failed_payment,2026-08-21 19:35:50,2,issuer_declined
TXN1078,CUST112,4013.32,debit_card,failed_payment,2026-08-17 19:35:50,1,card_expired
TXN1079,CUST171,11317.35,netbanking,subscription_failed,2026-08-15 19:35:50,0,
TXN1080,CUST189,3479.7,UPI,failed_payment,2026-07-30 19:35:50,2,insufficient_funds
TXN1081,CUST151,12612.55,credit_card,subscription_failed,2026-08-16 19:35:50,0,issuer_declined
TXN1082,CUST155,7055.75,debit_card,checkout_abandoned,2026-07-30 19:35:50,0,abandoned
TXN1083,CUST129,11700.21,credit_card,checkout_abandoned,2026-07-24 19:35:50,0,abandoned
TXN1084,CUST179,8700.58,netbanking,failed_payment,2026-08-11 19:35:50,2,bank_timeout
TXN1085,CUST162,1663.23,debit_card,checkout_abandoned,2026-07-27 19:35:50,2,abandoned
TXN1086,CUST244,11772.13,debit_card,failed_payment,2026-08-06 19:35:50,1,card_expired
TXN1087,CUST103,12766.2,netbanking,checkout_abandoned,2026-08-20 19:35:50,1,abandoned
TXN1088,CUST217,10653.53,netbanking,checkout_abandoned,2026-08-18 19:35:50,2,abandoned
TXN1089,CUST237,11653.43,netbanking,checkout_abandoned,2026-08-10 19:35:50,2,abandoned
TXN1090,CUST162,12486.36,UPI,failed_payment,2026-08-15 19:35:50,1,bank_timeout
TXN1091,CUST197,5145.49,netbanking,checkout_abandoned,2026-07-27 19:35:50,0,abandoned
TXN1092,CUST166,5204.03,debit_card,failed_payment,2026-08-06 19:35:50,0,network_error
TXN1093,CUST204,7405.38,credit_card,failed_payment,2026-08-01 19:35:50,1,issuer_declined
TXN1094,CUST175,3440.71,credit_card,failed_payment,2026-08-14 19:35:50,2,network_error
TXN1095,CUST188,6468.73,debit_card,checkout_abandoned,2026-08-12 19:35:50,2,abandoned
TXN1096,CUST159,1941.74,credit_card,failed_payment,2026-08-13 19:35:50,0,network_error
TXN1097,CUST149,3363.31,netbanking,checkout_abandoned,2026-08-15 19:35:50,2,abandoned
TXN1098,CUST172,14710.58,credit_card,checkout_abandoned,2026-08-14 19:35:50,0,abandoned
TXN1099,CUST236,2029.76,UPI,failed_payment,2026-08-22 19:35:50,1,card_expired
TXN1100,CUST225,1673.43,UPI,failed_payment,2026-08-05 19:35:50,0,issuer_declined
TXN1101,CUST113,3899.3,netbanking,failed_payment,2026-08-20 19:35:50,0,issuer_declined
TXN1102,CUST113,2403.15,debit_card,checkout_abandoned,2026-08-21 19:35:50,0,abandoned
TXN1103,CUST157,11669.05,netbanking,checkout_abandoned,2026-08-09 19:35:50,1,abandoned
TXN1104,CUST209,4684.9,UPI,checkout_abandoned,2026-08-04 19:35:50,2,abandoned
TXN1105,CUST154,4079.99,UPI,checkout_abandoned,2026-08-18 19:35:50,0,abandoned
TXN1106,CUST100,6216.49,netbanking,failed_payment,2026-08-14 19:35:50,0,bank_timeout
TXN1107,CUST216,1207.02,credit_card,failed_payment,2026-07-25 19:35:50,0,network_error
TXN1108,CUST208,1854.43,credit_card,subscription_failed,2026-08-03 19:35:50,0,card_expired
TXN1109,CUST142,11920.53,debit_card,failed_payment,2026-08-09 19:35:50,0,issuer_declined
TXN1110,CUST169,7582.01,netbanking,checkout_abandoned,2026-08-09 19:35:50,0,abandoned
TXN1111,CUST182,9115.15,UPI,subscription_failed,2026-08-21 19:35:50,0,network_error
TXN1112,CUST168,8707.27,credit_card,failed_payment,2026-08-08 19:35:50,1,issuer_declined
TXN1113,CUST249,6622.89,netbanking,failed_payment,2026-08-21 19:35:50,1,card_expired
TXN1114,CUST126,12887.34,debit_card,failed_payment,2026-08-10 19:35:50,2,issuer_declined
TXN1115,CUST240,694.95,UPI,subscription_failed,2026-08-13 19:35:50,0,card_expired
TXN1116,CUST231,12400.17,UPI,checkout_abandoned,2026-08-02 19:35:50,1,abandoned
TXN1117,CUST232,5522.42,netbanking,failed_payment,2026-08-03 19:35:50,1,insufficient_funds
TXN1118,CUST173,6656.02,netbanking,failed_payment,2026-08-20 19:35:50,0,network_error
TXN1119,CUST179,8329.96,netbanking,checkout_abandoned,2026-08-21 19:35:50,0,abandoned
TXN1120,CUST218,14213.85,credit_card,subscription_failed,2026-08-08 19:35:50,2,card_expired
