transaction_id,amount,event_type,classified_reason,confidence,action_taken,explanation,recovered,amount_recovered
TXN1001,11162.02,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1002,1441.04,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,1441.04
TXN1003,8484.49,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1004,10517.37,subscription_failed,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,10517.37
TXN1005,5791.92,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,True,5791.92
TXN1006,8112.99,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1007,8723.68,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,8723.68
TXN1008,12851.47,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1009,5425.77,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,True,5425.77
TXN1010,2576.53,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,True,2576.53
TXN1011,3551.36,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",True,3551.36
TXN1012,13164.06,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",True,13164.06
TXN1013,2271.64,subscription_failed,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,True,2271.64
TXN1014,13482.67,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1015,1500.0,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,1500.0
TXN1016,9006.67,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1017,12932.58,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,False,0.0
TXN1018,11563.69,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1019,14582.54,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1020,2419.66,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,True,2419.66
TXN1021,13947.11,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1022,11018.83,subscription_failed,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,11018.83
TXN1023,2602.14,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1024,6075.04,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1025,5170.57,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,True,5170.57
TXN1026,1150.89,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,1150.89
TXN1027,3331.42,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,True,3331.42
TXN1028,2977.59,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1029,10149.46,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",True,10149.46
TXN1030,2974.6,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1031,6730.49,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1032,2619.72,subscription_failed,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1033,14781.84,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1034,9978.79,subscription_failed,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",True,9978.79
TXN1035,1055.22,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,True,1055.22
TXN1036,2487.88,subscription_failed,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,True,2487.88
TXN1037,6146.07,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1038,8543.62,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,8543.62
TXN1039,6027.42,failed_payment,issuer_declined,low,escalate_to_human,Failure reason unclear; routed to human review instead of guessing.,False,0.0
TXN1040,14942.03,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1041,13230.83,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,13230.83
TXN1042,9233.41,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1043,4077.32,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1044,3173.42,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1045,1520.63,subscription_failed,issuer_declined,low,escalate_to_human,Failure reason unclear; routed to human review instead of guessing.,False,0.0
TXN1046,2549.49,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1047,14184.01,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1048,771.16,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1049,5402.13,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1050,14646.66,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,True,14646.66
TXN1051,12063.19,subscription_failed,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,False,0.0
TXN1052,3453.14,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,3453.14
TXN1053,5024.69,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1054,5067.58,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1055,1759.78,subscription_failed,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",True,1759.78
TXN1056,5870.15,subscription_failed,issuer_declined,low,escalate_to_human,Failure reason unclear; routed to human review instead of guessing.,False,0.0
TXN1057,10349.83,subscription_failed,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,True,10349.83
TXN1058,10001.3,subscription_failed,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1059,10503.54,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1060,4619.11,subscription_failed,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1061,7055.07,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1062,9933.93,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1063,10141.02,failed_payment,issuer_declined,low,escalate_to_human,Failure reason unclear; routed to human review instead of guessing.,False,0.0
TXN1064,9227.42,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1065,6084.85,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
